time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.025141122598518,0,30869.233622436,15827.723183594,29191.883924768,0,-0.024101775692918,-32975.688483432
