time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0034859218557122,0,8330.4365835655,11919.786349852,17493.640300878,-0.0009682786987252,-0.021031265463627,-15405.264803039
