sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
17,10.030871633804544,3.01870282805323,194262772683.7777,0.0073639262087396,-0.0006199649112549,0.0,-0.036009746167576,13681.160519845,18657.965149699,27839.984227908,-22874.13272394
18,10.030871633804544,3.01870282805323,199999999999.99985,0.0071526846215984,-0.0006021805978756,0.0,-0.0349767705896,13681.160519822,18657.965150389,27839.984228223,-22874.132724434
19,10.030871633804544,3.01870282805323,206277632535.01492,0.0069350085726248,-0.0005838545706039,0.0,-0.033912330364461,13681.160520046,18657.96515057,27839.984228442,-22874.132724628
20,10.030871633804544,3.907169414488192,199999999999.99985,0.0081265079356503,-0.0015873948557934,0.0,-0.04535279207166,17053.855564282,23989.165150797,35412.412917027,-30446.561413305
21,13.780069488623898,2.1809662226358477,199999999999.99985,0.007670756636657,0.0,0.0,-0.025085253383791,11330.090481054,13832.429092029,21485.971917525,-14770.317621573
22,16.26040211418108,1.796393040382047,199999999999.99985,0.0081995468069687,0.0,0.0,-0.020523098137654,10418.896041532,11658.247299631,18728.68345211,-14611.783880489
23,16.26040211418108,2.1809662226358477,194262772683.7777,0.0088757471655662,0.0,0.0,-0.025753894270443,11879.013868933,13966.247299698,22006.963278882,-16005.881101659
24,16.26040211418108,2.1809662226358477,199999999999.99985,0.0086211374823555,0.0,0.0,-0.025015118059274,11879.013868927,13966.247299649,22006.963278776,-16005.881101599
25,16.26040211418108,2.1809662226358477,206277632535.01492,0.0083587723362905,0.0,0.0,-0.024253838574278,11879.013869097,13966.247299813,22006.963278921,-16005.881101681
26,16.26040211418108,3.01870282805323,199999999999.99985,0.0095395402543721,0.0,0.0,-0.034800636915426,15059.767947583,18994.047299654,29148.443050586,-21098.65005352
27,20.918778289515537,1.5822799655835562,199999999999.99985,0.010463070368831,0.0,0.0,-0.017890405025825,10636.886486645,10624.569158529,17881.936963855,-16156.099793336
28,20.918778289515537,1.796393040382047,194262772683.7777,0.010774280684231,0.0,0.0,-0.02099360051902,11449.820372484,11909.569158359,19707.14908581,-16932.276105822
