time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.010774280684231,0,11449.820372484,11909.569158359,19707.14908581,0,-0.02099360051902,-16932.276105822
