time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.002853708557432,0,6745.1866446123,9962.5562970091,14466.231844607,-0.0013258170404364,-0.020142698898169,-13295.748874558
