time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0042270014813831,0,8716.3516012359,12191.816357912,18032.435905598,-0.00071951491873762,-0.02300763365398,-15378.524326731
