sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
30,4.161,1.7411028272418747,206180669406.1892,0.0033980070906246,-0.0007821220813455,0.0,-0.01961331782799,7531.3610061962,10673.687098228,15716.019093806,-13656.080112237
31,4.161,1.7411028272418747,210819090486.5884,0.0033232448129615,-0.0007649139865164,0.0,-0.019181789501408,7531.3610061509,10673.687098116,15716.019093755,-13656.080112157
32,4.161,2.053615449932963,199998000000.0,0.0038456622158575,-0.0011900172695729,0.0,-0.023870124081991,8717.9281626746,12549.287098069,18380.118592527,-16320.179610963
33,4.161,2.18637,186660922098.37637,0.0042763869469349,-0.0014497046497874,0.0,-0.027237287772996,9222.0104352782,13346.08709807,19511.892148033,-17451.953166444
34,4.161,2.18637,190016925491.20328,0.0042008591670674,-0.0014241005650595,0.0,-0.026756234046855,9222.0104351755,13346.087098217,19511.892147978,-17451.953166412
35,4.161,2.18637,194175330593.81076,0.0041108948267958,-0.0013936024543872,0.0,-0.026183230561536,9222.0104351981,13346.087098155,19511.89214796,-17451.953166413
36,4.161,2.18637,195934181524.08188,0.0040739913514925,-0.0013810920944891,0.0,-0.025948183876265,9222.0104351805,13346.087098042,19511.89214795,-17451.95316638
37,4.161,2.18637,200237984022.20828,0.0039864273327885,-0.0013514076981414,0.0,-0.02539046858866,9222.01043517,13346.08709815,19511.892147969,-17451.953166407
38,4.161,2.18637,204847835706.8196,0.0038967186187168,-0.001320996245313,0.0,-0.024819093245125,9222.0104352264,13346.087098121,19511.892147975,-17451.953166414
39,4.161,2.18637,206180669406.1892,0.00387152743327,-0.0013124563776538,0.0,-0.024658644816266,9222.0104351919,13346.087098138,19511.892147924,-17451.953166489
40,4.161,2.18637,210819090486.5884,0.003786346855019,-0.0012835799728791,0.0,-0.024116110206594,9222.0104351877,13346.087098172,19511.892147953,-17451.953166411
41,4.161,2.18637,214709060670.72208,0.0037177475768941,-0.0012603246656062,0.0,-0.023679185694755,9222.0104351918,13346.087098189,19511.892147968,-17451.953166392
42,4.161,2.389416099189124,194175330593.81076,0.004340129914543,-0.0016503416437924,0.0,-0.028625714802749,9992.8109382162,14564.487098132,21242.505727226,-19182.566745666
43,4.161,2.389416099189124,199998000000.0,0.0042137722786985,-0.0016022939418696,0.0,-0.027792311720812,9992.8109383351,14564.487098036,21242.505727232,-19182.566745664
44,4.161,2.389416099189124,206180669406.1892,0.0040874147202514,-0.0015542462692967,0.0,-0.026958909148846,9992.8109382682,14564.487098182,21242.5057273,-19182.566745632
45,4.161,2.9376371727581247,190016925491.20328,0.0050676906294558,-0.0023949362656428,0.0,-0.035992264328752,12074.301265841,17854.687097572,25915.900998486,-23855.962016896
46,4.161,2.9376371727581247,194175330593.81076,0.0049591624865184,-0.0023436470287174,0.0,-0.035221464788414,12074.301265759,17854.687098162,25915.900998482,-23855.962016902
47,4.161,2.9376371727581247,199998000000.0,0.0048147824656617,-0.0022754145786244,0.0,-0.034196034418996,12074.301265795,17854.687097805,25915.900998463,-23855.962016912
48,4.161,2.9376371727581247,200237984022.20828,0.0048090115940517,-0.0022726873265608,0.0,-0.034155047951648,12074.301265809,17854.687098074,25915.900998506,-23855.962016946
49,4.161,2.9376371727581247,206180669406.1892,0.0046704025331513,-0.0022071821702811,0.0,-0.033170604677015,12074.301265753,17854.687098827,25915.900998469,-23855.962016911
50,4.161,2.9376371727581247,210819090486.5884,0.0045676452634854,-0.0021586201861964,0.0,-0.032440791615797,12074.30126574,17854.687098154,25915.900998468,-23855.96201691
51,4.161,2.9847650391758727,199998000000.0,0.00486644062653,-0.0023332707928561,0.0,-0.034746448603327,12253.209984007,18137.48709808,26317.589705119,-24257.650723602
52,4.161,3.609702569488468,194175330593.81076,0.0057180992042554,-0.0031936425492608,0.0,-0.043307883481484,14626.217770334,21888.487097799,31645.504622829,-29585.565641198
53,4.161,3.609702569488468,199998000000.0,0.005551623658343,-0.0031006635071223,0.0,-0.042047026807387,14626.217770287,21888.487098136,31645.504622905,-29585.565641349
54,4.161,3.609702569488468,206180669406.1892,0.0053851482142841,-0.003007684521875,0.0,-0.040786170904659,14626.21777041,21888.487098574,31645.504622962,-29585.565641416
55,4.161,4.247980285218175,199998000000.0,0.0062606896167687,-0.003884218318006,0.0,-0.049501363600755,17049.203593327,25718.487098285,37085.631025471,-35025.692043928
56,4.914637450795303,1.7411028272418747,199998000000.0,0.0037917591937504,-0.0005652037162744,0.0,-0.020198339120373,7698.1119621075,10714.338677336,15874.285901307,-13441.327128287
57,4.914637450795303,2.18637,194175330593.81076,0.0044082589852829,-0.0011452759918011,0.0,-0.026161290738625,9388.7613911206,13386.738677272,19670.158955487,-17237.200182468
58,4.914637450795303,2.18637,199998000000.0,0.0042799178539299,-0.0011119326657684,0.0,-0.025399636384214,9388.7613911601,13386.738677356,19670.158955529,-17237.20018249
59,4.914637450795303,2.18637,206180669406.1892,0.0041515768010536,-0.0010785893601609,0.0,-0.024637982495736,9388.7613911302,13386.738677149,19670.158955484,-17237.200182464
60,4.914637450795303,2.9376371727581247,199998000000.0,0.0051034892261398,-0.002034317840808,0.0,-0.034174733347499,12241.052221671,17895.338677303,26074.167805985,-23641.209032969
61,6.373154073161224,1.477991331322408,199998000000.0,0.0040622878347789,-2.7438044520413e-05,0.0,-0.017083871276154,7022.0248438526,9214.040989191,13937.888202464,-10782.730311455
62,6.373154073161224,1.7411028272418747,194175330593.81076,0.0044811828775036,-0.0002470062874918,0.0,-0.020761528937843,8020.9529415474,10793.040989098,16180.697494689,-13025.539603676
63,6.373154073161224,1.7411028272418747,199998000000.0,0.0043507186551458,-0.0002398149980254,0.0,-0.020157082120549,8020.9529415595,10793.040988949,16180.697494607,-13025.539603622
64,6.373154073161224,1.7411028272418747,206180669406.1892,0.0042202545126403,-0.000232623712966,0.0,-0.019552635673305,8020.952941544,10793.040989101,16180.697494694,-13025.53960369
65,6.373154073161224,2.18637,190016925491.20328,0.0050930511197134,-0.0006790248825883,0.0,-0.02669038996081,9711.6023705903,13465.440989163,19976.570548909,-16821.412657929
66,6.373154073161224,2.18637,194175330593.81076,0.0049839798641062,-0.0006644830893084,0.0,-0.026118796572628,9711.6023705664,13465.440989067,19976.570548874,-16821.412657875
67,6.373154073161224,2.18637,199998000000.0,0.0048388773153567,-0.0006451374673899,0.0,-0.025358379384434,9711.6023706064,13465.440989185,19976.570548903,-16821.412657825
68,6.373154073161224,2.18637,200237984022.20828,0.0048330775642488,-0.0006443642226356,0.0,-0.025327985497983,9711.6023706112,13465.440989153,19976.570548929,-16821.412657919
69,6.373154073161224,2.18637,206180669406.1892,0.0046937748552998,-0.0006257918573905,0.0,-0.024597962661559,9711.6023705558,13465.440989081,19976.570548887,-16821.412657884
70,6.373154073161224,2.18637,210819090486.5884,0.0045905033524538,-0.0006120233091429,0.0,-0.024056763168757,9711.6023706024,13465.440989168,19976.570548947,-16821.412657938
71,6.373154073161224,2.389416099189124,199998000000.0,0.0050614385005843,-0.0008944020056958,0.0,-0.027729753649568,10482.402873767,14683.840988997,21707.184128102,-18552.026237108
72,6.373154073161224,2.9376371727581247,194175330593.81076,0.0058322475238202,-0.0016145276636416,0.0,-0.03515703079951,12563.893201118,17974.040989101,26380.579399372,-23225.421508374
73,6.373154073161224,2.9376371727581247,199998000000.0,0.0056624486875405,-0.0015675226424383,0.0,-0.034133476347664,12563.893201229,17974.040988923,26380.579399315,-23225.421508276
74,6.373154073161224,2.9376371727581247,206180669406.1892,0.0054926499551713,-0.0015205176500335,0.0,-0.033109922522363,12563.893201181,17974.040989039,26380.579399382,-23225.421508384
75,6.373154073161224,3.609702569488468,199998000000.0,0.0063992898802087,-0.0023927715709546,0.0,-0.041984468736094,15115.809705625,22007.840989246,32110.183023766,-28955.02513276
76,6.723493087578715,2.18637,199998000000.0,0.0049730380869211,-0.0005352201941474,0.0,-0.025348482426091,9789.0910259228,13484.331828868,20050.11697931,-16721.618690479
77,8.486296410326414,1.7411028272418747,199998000000.0,0.0051602730190373,0.0,0.0,-0.020097346806074,8488.5337564538,10907.030098618,16624.486996199,-12423.354010036
78,8.486296410326414,2.18637,194175330593.81076,0.0058178101897829,-0.00021922738556,0.0,-0.026057269985458,10179.183185377,13579.43009853,20420.360050139,-16219.22706405
79,8.486296410326414,2.18637,199998000000.0,0.0056484316791917,-0.0002128448452225,0.0,-0.025298644069877,10179.183185496,13579.430098717,20420.360050392,-16219.227064222
80,8.486296410326414,2.18637,206180669406.1892,0.0054790532720646,-0.0002064623088066,0.0,-0.024540018617927,10179.183185469,13579.430098673,20420.360050272,-16219.227064129
81,8.486296410326414,2.9376371727581247,199998000000.0,0.0064720030514359,-0.0008914659028899,0.0,-0.034073741033277,13031.474016113,18088.030098808,26824.368900937,-22623.235914759
82,10.57204821922135,2.18637,199998000000.0,0.0064476325122835,0.0,0.0,-0.025239670958419,10640.783786388,13691.961123337,20858.473244696,-15624.742012677
