time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0039960891125978,0,9764.2249382667,14497.090124054,21014.236145645,-0.0020001892831087,-0.028994282528189,-19446.1149049
