time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0044939201984702,0,8919.6715520825,12363.681546219,18343.976046098,-0.0005936298260449,-0.023520336107749,-15439.876582502
