time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0037163612895187,0,9030.6192579627,13268.304772292,19300.065720561,-0.0015984322608132,-0.02552833086972,-17616.189998328
