time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0031855227747556,0,6056.9367098818,8242.7761387585,12308.383085147,-0.00025300297040281,-0.015443018539523,-10080.621697805
