time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0035986327339143,0,9879.5544482085,14965.34666497,21550.402610617,-0.002338588579964,-0.02890176466964,-20460.759960828
