time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0045132185070952,0,12803.588139772,19374.381136182,27909.0216601,-0.0028993122417302,-0.036104762636137,-26463.026298773
