time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0037841874392553,0,6683.7018512206,8821.8410927174,13316.51303537,-6.5862419296982e-05,-0.016270600720116,-10399.938108006
