time,max_disp_x,max_disp_y,max_force_x,max_force_y,max_moment_z,min_disp_x,min_disp_y,min_moment_z
0,0,0,0,0,0,0,0,0
1,0.0043382601075546,0,8746.6496867401,12066.754406434,17932.787434391,-0.00049097952762245,-0.022255173398094,-14989.47937038
