sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
23,3.657201681963253,3.750551735208453,205790900128.6305,0.0053677970016547,-0.0033378578687829,0.0,-0.042473711458829,15048.667760253,22705.30730975,32738.502120428,-30927.973022841
24,2.218779601873804,2.899001487511203,200034542695.12183,0.0041159193805879,-0.0028489465062612,0.0,-0.033793633857212,11497.832019077,17518.103202593,25178.699668512,-24080.279638881
25,4.7957680177752735,2.5799493757540333,208061319054.56888,0.0044850267326906,-0.0015698849020553,0.0,-0.028837519978711,10856.745464568,15742.327959089,23000.182022803,-20626.046431388
26,6.376683885514953,2.0729662038954206,193413332916.57736,0.0048763419503554,-0.0005243917777794,0.0,-0.024851860536946,9281.749187711,12785.016644755,19010.529493429,-15853.771045649
27,2.8394946778010395,1.1960541308191566,196048145142.83148,0.0024475398847623,-0.0005712436501845,0.0,-0.014170517840506,5169.5626775063,7331.3917435545,10792.322693366,-9386.6052579494
28,4.054332810526881,1.9208498776601184,188714872741.94617,0.0038780187269474,-0.0011245873382663,0.0,-0.023656960874857,8190.2363171152,11746.731590025,17225.93703827,-15218.81313889
29,4.07134909368872,1.9968872726389424,210194713336.04214,0.0035672501229117,-0.0010933293069693,0.0,-0.022084198481307,8482.7345765416,12204.049283767,17877.779767321,-15862.234929722
30,5.562352992551267,1.977414497777968,198394190189.3152,0.0043338336900474,-0.0006532526227858,0.0,-0.023125704833743,8738.7028654293,12167.494156997,18024.787741403,-15271.062171452
31,2.9423754882963147,2.9198637355164525,201439287141.4373,0.0042974085494916,-0.0026246291294577,0.0,-0.033779582678855,11737.17356793,17682.34160585,25508.520885762,-24051.876825017
32,3.135617490448457,1.8932618978934133,202513045137.27048,0.0032362731546298,-0.0013048260027223,0.0,-0.021752458565175,7882.1554688763,11531.566413473,16797.748074352,-15245.443939651
33,4.806311214735728,2.4914647986272422,201430038810.2913,0.0045404565815516,-0.00151029070038,0.0,-0.028760437127372,10523.192243301,15211.906338063,22248.203451279,-19868.752075271
34,3.018094439759445,2.0873879793203862,194022049219.2989,0.0035508535398129,-0.0016463666757114,0.0,-0.02504511758584,8593.1686935778,12690.226814434,18427.830766829,-16933.698622428
35,2.703947993413274,1.284935362758075,207430696256.1308,0.0023571035486244,-0.0006869276241009,0.0,-0.014397574869276,5477.0137233752,7857.4793262443,11521.494007083,-10182.876744655
36,4.584358053738174,2.0454682892994143,199623961529.22037,0.004006352472908,-0.0010465419591251,0.0,-0.023807314038031,8780.5832460621,12523.118908705,18399.408574986,-16129.967487797
37,3.824360591547825,2.1915312154577293,199519191875.0247,0.0038771343490667,-0.001470567663821,0.0,-0.025551574267011,9166.9970274169,13358.72572921,19484.932970813,-17591.647678192
38,5.622681516556785,2.8510876003783183,206634757839.73328,0.0051103947599454,-0.0016467850907965,0.0,-0.032079263389138,12069.197353539,17414.147356946,25485.171047946,-22701.593475362
39,5.532090662754632,2.192394585092188,199535744557.64688,0.0045336762013518,-0.0009237558453866,0.0,-0.025511197586263,9548.2491219571,13456.066128776,19851.047992373,-17112.258704606
40,5.778199957321379,3.1990114233539853,222423954968.05093,0.005144086088415,-0.0018693028831881,0.0,-0.033452246688336,13424.508331106,19510.527417871,28483.587831302,-25623.121648094
41,3.7524628276914207,1.7508441895666187,207339572447.25317,0.0032383092505492,-0.0009153724841742,0.0,-0.01962447476608,7477.8942814112,10710.04616644,15713.158703632,-13855.473037942
42,6.117077671865101,2.5567118144636343,215591192217.84692,0.0047745110652818,-0.0010963003010475,0.0,-0.027543956447699,11061.028320993,15674.227027132,23079.766757522,-20051.368489518
43,5.437522686929439,1.430101768168761,196673232916.0332,0.0037129083756932,-0.0001626599152996,0.0,-0.016830773209782,6633.0850937655,8876.1492646058,13333.085702286,-10641.261056051
44,3.257550260121085,2.6736697484615317,206624442273.5842,0.0040452069902238,-0.0021685510855828,0.0,-0.030139652925469,10872.145209242,16221.745646808,23475.941447548,-21863.264979254
45,2.388215014726107,2.6307139601873866,195133606777.5189,0.0039252755613883,-0.0025273006014365,0.0,-0.031425412476904,10516.662752747,15917.044438362,22927.163094457,-21744.862708097
46,3.335798447454036,2.783429459880692,206773433189.75943,0.0041876873796709,-0.00227313487242,0.0,-0.031356002316079,11306.239752701,16884.766810305,24428.134372782,-22776.722274614
47,7.921812498697036,1.817143475882432,193926882587.6339,0.0051847971455225,-2.7654319764856e-05,0.0,-0.021659071213656,8652.3755747196,11332.983114597,17154.219187472,-13232.468041155
48,4.919541450466546,2.680964468134987,199555197248.87543,0.0048347101406639,-0.0017214047486441,0.0,-0.031245688541688,11267.639229024,16355.205731217,23887.22561134,-21451.816300757
49,4.045159155652342,2.527945086170485,184486477162.35483,0.0046845743610718,-0.0019615976086716,0.0,-0.03188683207388,10493.141178111,15389.636326742,22399.088875769,-20396.509609441
